name,printings,rarity
Defend the Campus,"J25, STX",common
Defiant Strike,"J25, KTK, M21, PLST, STA, WAR",common
Desperate Lunge,"J25, PLST, WAR",common
Golden-Tail Disciple,"J25, NEO",common
Herald of the Sun,"J25, M20",uncommon
Hexgold Hoverwings,"J25, ONE",uncommon
Leonin of the Lost Pride,"J25, THB",common
Light the Way,"J25, NEO",common
Maul of the Skyclaves,"J25, MOC, ONC, PRM, PZNR, ZNR",rare
Mirran Bardiche,"J25, ONE",common
Paladin of the Bloodstained,"J25, PLST, XLN",common
Rally of Wings,"J25, SCD, WAR",uncommon
Resistance Reunited,"J25, ONE",uncommon
Revitalize,"J25, KHM, M19, M21, STA",common
Shield Mare,"J25, M19",uncommon
Speakeasy Server,"J25, SNC",common
Star Pupil,"J25, STX",common
Starnheim Courser,"J25, KHM",common
Steadfast Sentry,"J25, M20",common
Sunblade Samurai,"J25, NEO",common
Sungrace Pegasus,"J25, M15, PIO",common
Sunmane Pegasus,"J25, THB",common
Valkyrie's Sword,"J25, KHM",uncommon
Cavalier of Gales,"J25, M20, PM20",mythic
Chrome Prowler,"J25, ONE",common
Draugr Thought-Thief,"J25, KHM",common
Expedition Diviner,"J25, ZNR",common
Expendable Lackey,"J25, SNC",common
Frost Trickster,"J25, PLST, STX",common
Majestic Metamorphosis,"J25, PLST, SNC",common
Malcator's Watcher,"J25, ONE",common
Malfunction,"J25, KLD, KLR",common
Moon-Circuit Hacker,"J25, NEO, PLST",common
Moonsnare Specialist,"J25, NEO",common
"Mu Yanling, Sky Dancer","J25, M20, PM20",mythic
Naiad of Hidden Coves,"J25, THB",common
Network Disruptor,"J25, NEO",common
Omen of the Sea,"J25, PLST, THB",common
Prosperous Thief,"J25, NEO",uncommon
Shore Keeper,"J25, XLN",common
Slimebind,"J25, RNA",common
Starlit Mantle,"J25, THB",common
Teferi's Ageless Insight,"J25, M21, MKC, PM21, SLD",rare
Tide Skimmer,"J25, M21, PLST, SCD",uncommon
Towering-Wave Mystic,"J25, JMP, THB",common
Vexing Gull,"J25, THB",common
Waker of Waves,"J25, M21, PLST",uncommon
Wall of Lost Thoughts,"J25, JMP, RNA",uncommon
Whirlwind Denial,"J25, STA, THB",uncommon
Wind Strider,"J25, PLST, XLN",common
Yarok's Wavecrasher,"J25, M20",uncommon
Agonizing Syphon,"J25, JMP, M20",common
Alchemist's Gift,"J25, M21",common
Archfiend's Vessel,"J25, M21",uncommon
Blood Beckoning,"J25, ZNR",common
Blood Burglar,"J25, M20",common
Boneclad Necromancer,"J25, M20",common
Contract Killing,"J25, XLN",common
Crooked Custodian,"J25, PLST, SNC",common
Elderfang Disciple,"J25, KHM",common
Expedition Skulker,"J25, ZNR",common
Fretwork Colony,"J25, KLD, KLR, PLST",uncommon
Hooded Blightfang,"J25, M21, PM21, PRM",rare
Koma's Faithful,"J25, KHM",common
Midnight Assassin,"J25, SNC",common
Morkrut Necropod,"J25, SIR, SOI",uncommon
Pitiless Plunderer,"J25, LCC, MB2, PIP, PLST, RIX, SLD, SPG",uncommon
Priest of Forgotten Gods,"J25, PRNA, RNA, RVR, SLD",rare
Ruthless Knave,"J25, PLST, XLN",uncommon
Sanctum Seeker,"J25, LCC, PXLN, VOC, XLN",rare
Scion of the Swarm,"J25, ZNR",uncommon
Skemfar Shadowsage,"J25, KHM, SLD",uncommon
Subtle Strike,"J25, KLD, KLR, PLST, ZNR",common
Thieves' Guild Enforcer,"J25, M21, PM21, PRM",rare
Thirsting Bloodlord,"J25, M20, PLST",uncommon
Undercity Scrounger,"J25, NEO",common
Vampire of the Dire Moon,"J25, M20, PLST",uncommon
Vampire Scrivener,"J25, SNC",uncommon
Vicious Conquistador,"J25, XLN",uncommon
Virus Beetle,"J25, NEO, PLST",common
Vraska's Finisher,"J25, PLST, WAR",common
Akroan Crusader,"J25, PIO, THS, UMA",common
Bloodfire Expert,"J25, KTK, PLST",common
Dreadhorde Arcanist,"J25, PWAR, TSR, WAR",rare
Expedition Champion,"J25, ZNR",common
Fissure Wizard,"J25, ZNR",common
Furious Reprisal,"J25, KLD, KLR",uncommon
Goma Fada Vanguard,"J25, ZNR",uncommon
Infuriate,"J25, M20, STA, THB",common
Kargan Intimidator,"J25, PRM, PZNR, ZNR",rare
Pigment Storm,"J25, STX",common
Resistance Skywarden,"J25, ONE",uncommon
Roil Eruption,"J25, ZNR",common
"Sarkhan, Fireblood","J25, M19, MB2, PM19",mythic
Scavenged Blade,"J25, ZNR",common
Soul Sear,"J25, M21",uncommon
Unleash Fury,"J25, M21, SCD",uncommon
Unstoppable Ogre,"J25, NEO",common
Wrecking Crew,"J25, SNC",common
Adventure Awaits,"J25, ZNR",common
Ancient Greenwarden,"J25, OTC, PRM, PZNR, ZNR",mythic
Armored Kincaller,"J25, LCI",common
Big Play,"J25, STX",common
Bond of Flourishing,"J25, WAR",uncommon
Byway Courier,"J25, PLST, SIR, SOI",common
Cherished Hatchling,"J25, RIX",uncommon
Commune with Dinosaurs,"J25, JMP, XLN",common
Drover of the Mighty,"J25, JMP, LCC, XLN",uncommon
For the Family,"J25, SNC",common
"Garruk, Caller of Beasts","J25, M14, PIO, PSDC, SLD",mythic
Heir of the Ancient Fang,"J25, NEO",common
High-Rise Sawjack,"J25, SNC",common
Invigorating Surge,"J25, M21, PLST",uncommon
Ixalli's Diviner,"J25, XLN",common
Jadelight Ranger,"J25, PLST, PRIX, RIX",rare
"Jiang Yanggu, Wildcrafter","J25, PRM, PWAR, SLD, WAR",uncommon
Kazandu Nectarpot,"J25, PRM, ZNR",common
Kazandu Stomper,"J25, ZNR",common
Llanowar Visionary,"J25, M21, PLST, SLD",common
Merfolk Branchwalker,"J25, XLN",uncommon
Oran-Rief Ooze,"J25, PRM, PZNR, ZNR",rare
Orochi Merge-Keeper,"J25, NEO",uncommon
Savage Stomp,"J25, JMP, LCC, XLN",uncommon
Skyclave Pick-Axe,"J25, PRM, ZNR",uncommon
Territorial Scythecat,"J25, PRM, ZNR",common
Topiary Stomper,"J25, LCC, PRM, PSNC, SNC",rare
Tough Cookie,"J25, WOE",uncommon
Tyvar Kell,"J25, KHM, PKHM, PLST, PRM",mythic
Warbriar Blessing,"J25, PLST, THB, WOC",common
Wolfrider's Saddle,"J25, M20",uncommon
Cliffhaven Kitesail,"J25, ZNR",common
Patchwork Automaton,"J25, NEO, PLST",uncommon
Relic Axe,"J25, ZNR",uncommon
Branching Evolution,"JMP, LCC, MH3, PIP",rare
Aegis of the Heavens,"JMP, M19",uncommon
Aerial Assault,"JMP, M20",common
Bulwark Giant,"JMP, PLST, RVR, WAR",common
High Sentinels of Arashin,"JMP, KTK, MOC, PKTK",rare
Knight of the Tusk,"JMP, M19, PLST",common
"Lena, Selfless Champion","JMP, M19, PM19",rare
Sky Tether,"JMP, RNA",uncommon
Curious Obsession,"JMP, PLST, RIX",uncommon
Departed Deckhand,"JMP, LCC, M19",uncommon
Rattlechains,"JMP, PSOI, SIR, SOI, VOC",rare
Thought Collapse,"JMP, PLST, RNA",common
Blood Divination,"JMP, M19",uncommon
Fell Specter,"JMP, M19, PLST",uncommon
Funeral Rites,"JMP, THB",common
Ghoulcaller's Accomplice,"JMP, PLST, SIR, SOI, UMA",common
Blindblast,"JMP, PLST, WAR",common
Doublecast,"JMP, M19, XANA",uncommon
Flames of the Raze-Boar,"JMP, RNA",uncommon
Goblin Instigator,"JMP, M19, MOC, PLST",common
Heartfire,"JMP, WAR",common
Inferno Hellion,"JMP, M19",uncommon
Pyroclastic Elemental,"JMP, M20",uncommon
Sarkhan's Unsealing,"JMP, M19, PM19",rare
Sin Prodder,"JMP, PSOI, SIR, SOI",rare
Tibalt's Rager,"JMP, PLST, WAR",uncommon
Feral Invocation,"JMP, M20, THS",common
Orazca Frillback,"JMP, RIX",common
Silhana Wayfinder,"JMP, RNA",uncommon
Sylvan Brushstrider,"JMP, RNA",common
Ulvenwald Hydra,"JMP, M3C, PSOI, SIR, SOI",mythic
Wall of Vines,"JMP, M11, M19",common
Ironroot Warlord,"JMP, M20",uncommon
Lawmage's Binding,"JMP, PLST, RNA",common
Raging Regisaur,"JMP, LCC, RIX",uncommon
Gargoyle Sentinel,"JMP, M11, M15, M19",uncommon
Mana Geode,"JMP, WAR",common
Marauder's Axe,"JMP, M19, M20",common
Rogue's Gloves,"JMP, M15, M19",uncommon
Scuttlemutt,"JMP, M20, PLST, SHM",uncommon
Phyrexian Tower,"JMP, MH3, PLST, SLD, UMA, USG, WC00",rare
Lagonna-Band Trailblazer,"JOU, PIO, PLST",common
Oreskos Swiftclaw,"JOU, M15, M19, PLST",common
Dictate of Erebos,"JOU, PIO, PLST, SLD",rare
Worst Fears,"JOU, MB2, PIO",mythic
Mogis's Warhound,"JOU, PIO",uncommon
Bassara Tower Archer,"JOU, PIO, PLST",uncommon
"Ajani, Mentor of Heroes","JOU, MED, PIO, PMEI, SLD",mythic
"Athreos, God of Passage","JOU, PIO, PLST, SLD",mythic
"Keranos, God of Storms","JOU, PIO, SLD",mythic
"Kruphix, God of Horizons","JOU, PIO, PLST, SLD",mythic
"Pharika, God of Affliction","JOU, PIO, SLD",mythic
Fledgling Dragon,"JUD, MH3",rare
Evangel of Heliod,"KHC, PIO, PLST, THS",uncommon
Twinblade Assassins,"KHC, M21",uncommon
Axgard Braggart,KHM,common
Battershield Warrior,KHM,uncommon
Battlefield Raptor,KHM,common
Beskir Shieldmate,KHM,common
Bound in Gold,KHM,common
Clarion Spirit,"KHM, PLST",uncommon
Codespell Cleric,KHM,common
Divine Gambit,"KHM, STA",uncommon
Doomskar,"KHM, PKHM, PRM",rare
Doomskar Oracle,KHM,common
Gods' Hall Guardian,KHM,common
Goldmaw Champion,KHM,common
"Halvar, God of Battle // Sword of the Realms","KHM, PKHM, PRM",mythic
Iron Verdict,KHM,common
Kaya's Onslaught,KHM,uncommon
Master Skald,KHM,common
Rally the Ranks,"KHM, PKHM, PRM",rare
"Reidane, God of the Worthy // Valkmira, Protector's Shield","KHM, PKHM, PRM",rare
Resplendent Marshal,"KHM, PKHM, PRM",mythic
Rune of Sustenance,KHM,uncommon
Runeforge Champion,"KHM, PKHM, PRM",rare
Search for Glory,"KHM, PKHM, PLST, PRM",rare
Shepherd of the Cosmos,KHM,uncommon
"Sigrid, God-Favored","KHM, PKHM, PRM",rare
Starnheim Unleashed,"KHM, PKHM, PRM",mythic
Story Seeker,KHM,common
Usher of the Fallen,"KHM, PMEI",uncommon
Valor of the Worthy,KHM,common
Warhorn Blast,KHM,common
Wings of the Cosmos,KHM,common
"Alrund, God of the Cosmos // Hakka, Whispering Raven","KHM, PKHM, PRM",mythic
"A-Alrund, God of the Cosmos // A-Hakka, Whispering Raven",KHM,mythic
Alrund's Epiphany,"KHM, PKHM, PRM",mythic
A-Alrund's Epiphany,KHM,mythic
Annul,"KHM, MRD, THS, USG, WC00, WC04",common
Ascendant Spirit,"KHM, PKHM, PRM",rare
Augury Raven,KHM,common
Behold the Multiverse,KHM,common
Bind the Monster,KHM,common
Brinebarrow Intruder,KHM,common
"Cosima, God of the Voyage // The Omenkeel","KHM, PKHM, PLST, PRM",rare
Cosmos Charger,"KHM, PKHM, PRM",rare
A-Cosmos Charger,KHM,rare
Cyclone Summoner,"KHM, PKHM, PLST, PRM",rare
Depart the Realm,KHM,common
Frost Augur,KHM,uncommon
Frostpyre Arcanist,KHM,uncommon
Giant's Amulet,KHM,uncommon
Glimpse the Cosmos,KHM,uncommon
Graven Lore,"KHM, PKHM, PRM",rare
Icebreaker Kraken,"KHM, PKHM, PRM",rare
Karfell Harbinger,KHM,common
Mists of Littjara,KHM,common
Mystic Reflection,"KHM, PKHM, PRM",rare
"Orvar, the All-Form","KHM, PKHM, PLST, PRM, SLD",mythic
Ravenform,"KHM, LCC",common
Rune of Flight,KHM,uncommon
Saw It Coming,"KHM, PWCS",uncommon
Blood on the Snow,"KHM, PKHM, PRM",rare
Bloodsky Berserker,KHM,uncommon
Burning-Rune Demon,"KHM, PKHM, PRM",mythic
Deathknell Berserker,KHM,common
Dogged Pursuit,KHM,common
Draugr Necromancer,"KHM, PKHM, PRM",rare
Draugr Recruiter,KHM,common
Draugr's Helm,KHM,uncommon
Dream Devourer,"KHM, PKHM, PRM",rare
Duskwielder,KHM,common
"Egon, God of Death // Throne of Death","KHM, PKHM, PRM",rare
Eradicator Valkyrie,"KHM, PKHM, PRM",mythic
Feed the Serpent,KHM,common
Grim Draugr,KHM,common
Hailstorm Valkyrie,KHM,uncommon
Haunting Voyage,"KHM, PKHM, PRM",mythic
Infernal Pet,KHM,common
Jarl of the Forsaken,KHM,common
Poison the Cup,KHM,uncommon
Priest of the Haunted Edge,KHM,common
Raise the Draugr,KHM,common
Return Upon the Tide,KHM,uncommon
A-Return Upon the Tide,KHM,uncommon
Rise of the Dread Marn,"KHM, PKHM, PRM",rare
Rune of Mortality,KHM,uncommon
Skemfar Avenger,"KHM, PKHM, PRM",rare
A-Skemfar Avenger,KHM,rare
Skull Raid,"KHM, PLST",common
"Tergrid, God of Fright // Tergrid's Lantern","KHM, PKHM, PRM",rare
Tergrid's Shadow,KHM,uncommon
"Valki, God of Lies // Tibalt, Cosmic Impostor","KHM, PKHM, PLST, PRM",mythic
"Varragoth, Bloodsky Sire","KHM, PKHM, PRM, SLD",rare
Vengeful Reaper,KHM,uncommon
Weigh Down,KHM,common
Withercrown,KHM,common
Arni Brokenbrow,"KHM, PKHM, PRM",rare
Basalt Ravager,KHM,uncommon
"Birgi, God of Storytelling // Harnfel, Horn of Bounty","KHM, PKHM, PRM",rare
Breakneck Berserker,KHM,common
Calamity Bearer,"KHM, PKHM, PRM",rare
Cinderheart Giant,KHM,common
Craven Hulk,KHM,common
Crush the Weak,"KHM, PLST",uncommon
Doomskar Titan,KHM,uncommon
Dragonkin Berserker,"KHM, PKHM, PRM, SCD",rare
Dual Strike,KHM,uncommon
Dwarven Reinforcements,KHM,common
Fearless Liberator,KHM,uncommon
Fearless Pup,KHM,common
Frenzied Raider,KHM,uncommon
Frost Bite,KHM,common
Hagi Mob,KHM,common
"Magda, Brazen Outlaw","KHM, PKHM, PLST, PRM, SLD",rare
Open the Omenpaths,KHM,common
Provoke the Trolls,"KHM, SCD",uncommon
Quakebringer,"KHM, PKHM, PRM",mythic
Reckless Crew,"KHM, PKHM, PRM",rare
Rune of Speed,KHM,uncommon
Shackles of Treachery,KHM,common
Smashing Success,KHM,common
Squash,KHM,common
Tibalt's Trickery,"KHM, PKHM, PRM",rare
"Toralf, God of Fury // Toralf's Hammer","KHM, PKHM, PRM",mythic
Tormentor's Helm,KHM,common
Tundra Fumarole,"KHM, PKHM, PRM",rare
Tuskeri Firewalker,KHM,common
Arachnoform,KHM,common
Blessing of Frost,"KHM, PKHM, PRM",rare
Blizzard Brawl,KHM,uncommon
Boreal Outrider,KHM,uncommon
A-Elderleaf Mentor,KHM,common
A-Elven Bow,KHM,uncommon
"Esika, God of the Tree // The Prismatic Bridge","KHM, PKHM, PRM, SLD",mythic
Glittering Frost,KHM,common
Gnottvold Recluse,KHM,common
Grizzled Outrider,KHM,common
Guardian Gladewalker,"KHM, PLST",common
Horizon Seeker,KHM,common
Icehide Troll,KHM,common
In Search of Greatness,"KHM, PKHM, PRM",rare
Jaspera Sentinel,"KHM, PLST, SCD, SLD",common
"Jorn, God of Winter // Kaldring, the Rimestaff","KHM, PKHM, PRM",rare
King Harald's Revenge,KHM,common
"Kolvori, God of Kinship // The Ringhart Crest","KHM, PKHM, PLST, PRM",rare
Littjara Glade-Warden,KHM,uncommon
Mammoth Growth,KHM,common
Masked Vandal,"KHM, PLST",common
Old-Growth Troll,"KHM, PKHM, PRM",rare
Ravenous Lindwurm,KHM,common
Rootless Yew,KHM,uncommon
Rune of Might,KHM,uncommon
Sarulf's Packmate,"KHM, PLST",common
Sculptor of Winter,KHM,common
Spirit of the Aldergard,KHM,uncommon
Struggle for Skemfar,"KHM, PLST",common
A-Tyvar Kell,KHM,mythic
"Vorinclex, Monstrous Raider","KHM, PKHM, PRM",mythic
"Aegar, the Freezing Flame","KHM, MUL, PRM",uncommon
Arni Slays the Troll,KHM,uncommon
Ascent of the Worthy,KHM,uncommon
Battle of Frost and Fire,"KHM, PKHM",rare
The Bears of Littjara,"KHM, PKHM, PLST",rare
The Bloodsky Massacre,"KHM, PKHM",rare
Fall of the Impostor,KHM,uncommon
A-Fall of the Impostor,KHM,uncommon
"Firja, Judge of Valor","KHM, MUL, PRM",uncommon
Forging the Tyrite Sword,"KHM, PLST",uncommon
"Harald, King of Skemfar","KHM, PMEI, PRM",uncommon
"A-Harald, King of Skemfar",KHM,uncommon
Harald Unites the Elves,"KHM, PKHM",rare
A-Harald Unites the Elves,KHM,rare
Invasion of the Giants,KHM,uncommon
Kardur's Vicious Return,KHM,uncommon
Kaya the Inexorable,"KHM, PKHM, PRM, PWCS",mythic
King Narfi's Betrayal,"KHM, LCC, PKHM",rare
"Koll, the Forgemaster","KHM, PRM",uncommon
"Koma, Cosmos Serpent","KHM, MKC, PKHM, PRM, SLD",mythic
"Maja, Bretagard Protector","KHM, PLST, PRM, SCD",uncommon
Moritte of the Frost,"KHM, PLST, PRM",uncommon
"Narfi, Betrayer King","KHM, PLST, PRM",uncommon
"A-Narfi, Betrayer King",KHM,uncommon
Niko Aris,"KHM, PKHM, PRM",mythic
Niko Defies Destiny,KHM,uncommon
The Raven's Warning,"KHM, PKHM",rare
"Sarulf, Realm Eater","KHM, PKHM, PLST, PRM",rare
Showdown of the Skalds,"KHM, PKHM, PLST",rare
"Svella, Ice Shaper","KHM, PLST, PRM",uncommon
The Three Seasons,KHM,uncommon
The Trickster-God's Heist,KHM,uncommon
"Vega, the Watcher","KHM, PLST, PRM",uncommon
"A-Vega, the Watcher",KHM,uncommon
Waking the Trolls,"KHM, PKHM",rare
Colossal Plow,"KHM, NEC",uncommon
Cosmos Elixir,"KHM, PKHM, PLST, PRM",rare
A-Cosmos Elixir,KHM,rare
Funeral Longboat,KHM,common
Pyre of Heroes,"KHM, PKHM, PRM",rare
Raven Wings,KHM,common
Replicating Ring,"KHM, MOC, PLST",uncommon
Runed Crown,KHM,uncommon
Scorn Effigy,KHM,common
Weathered Runestone,KHM,uncommon
Alpine Meadow,KHM,common
Arctic Treeline,KHM,common
Axgard Armory,KHM,uncommon
Barkchannel Pathway,"KHM, PKHM, PLST, PRM, SLU",rare
Blightstep Pathway,"KHM, PKHM, PLST, PRM, SLU",rare
Bretagard Stronghold,"KHM, MOC",uncommon
A-Bretagard Stronghold,KHM,uncommon
Darkbore Pathway,"KHM, PKHM, PLST, PRM, SLU",rare
Faceless Haven,"KHM, PKHM, PRM, PWCS",rare
Gates of Istfell,KHM,uncommon
Glacial Floodplain,KHM,common
Gnottvold Slumbermound,KHM,uncommon
Great Hall of Starnheim,KHM,uncommon
Hengegate Pathway,"KHM, PKHM, PLST, PRM, SLU",rare
Ice Tunnel,KHM,common
Immersturm Skullcairn,KHM,uncommon
Littjara Mirrorlake,"KHM, NCC",uncommon
Rimewood Falls,"KHM, PLST",common
Skemfar Elderhall,KHM,uncommon
A-Skemfar Elderhall,KHM,uncommon
Sulfurous Mire,KHM,common
Surtland Frostpyre,KHM,uncommon
Volatile Fjord,KHM,common
Woodland Chasm,"KHM, PLST",common
The World Tree,"KHM, PKHM, PLST, PRM, SLD",rare
Surtland Elementalist,KHM,rare
Cleaving Reaper,"KHM, PKHM",rare
Surtland Flinger,KHM,rare
Canopy Tactician,KHM,rare
A-Canopy Tactician,KHM,rare
Armed and Armored,"KHM, NEC",uncommon
Warchanter Skald,"KHM, PLST",uncommon
Absorb Identity,KHM,uncommon
Giant's Grasp,KHM,uncommon
Elderfang Ritualist,KHM,uncommon
A-Elderfang Ritualist,KHM,uncommon
Renegade Reaper,KHM,uncommon
Thornmantle Striker,KHM,uncommon
A-Thornmantle Striker,KHM,uncommon
Bearded Axe,KHM,uncommon
Fire Giant's Fury,KHM,uncommon
Gilded Assault Cart,KHM,uncommon
Gladewalker Ritualist,KHM,uncommon
Rampage of the Valkyries,KHM,uncommon
Aetherstorm Roc,"KLD, KLR, M3C, PKLD",rare
Angel of Invention,"KLD, KLR, M3C, PKLD, TDC",mythic
Aviary Mechanic,"KLD, KLR",common
Eddytrail Hawk,"KLD, KLR, PLST",common
Fairgrounds Warden,"KLD, KLR, PLST",uncommon
Fragmentize,"KLD, KLR, PLST",common
Gearshift Ace,"KLD, KLR",uncommon
Herald of the Fair,"KLD, KLR",common
Master Trinketeer,"KLD, KLR, PKLD",rare
Propeller Pioneer,"KLD, KLR",common
Refurbish,"KLD, KLR, PLST",uncommon
Revoke Privileges,"KLD, KLR",common
Toolcraft Exemplar,"KLD, KLR, PKLD",rare
Visionary Augmenter,"KLD, KLR",uncommon
Aether Meltdown,"KLD, KLR",uncommon
Aether Theorist,"KLD, KLR",common
Ceremonious Rejection,"KLD, KLR",uncommon
Glint-Nest Crane,"KLD, KLR",uncommon
Minister of Inquiries,"KLD, KLR",uncommon
Nimble Innovator,"KLD, KLR",common
Paradoxical Outcome,"KLD, KLR, MB2, PKLD, TSR",rare
Revolutionary Rebuff,"KLD, KLR",common
Select for Inspection,"KLD, KLR",common
Shrewd Negotiation,"KLD, KLR",uncommon
Tezzeret's Ambition,"KLD, KLR",common
Thriving Turtle,"KLD, KLR",common
Aetherborn Marauder,"KLD, KLR, OTC",uncommon
Demon of Dark Schemes,"KLD, KLR, PKLD",mythic
Die Young,"KLD, KLR, PLST",common
Embraal Bruiser,"KLD, KLR",uncommon
Essence Extraction,"KLD, KLR, PKLD, PLST, PRM",uncommon
Fortuitous Find,"KLD, KLR",common
Foundry Screecher,"KLD, KLR",common
Live Fast,"KLD, KLR",common
Lost Legacy,"KLD, KLR, PKLD",rare
Make Obsolete,"KLD, KLR",uncommon
Maulfist Squad,"KLD, KLR",common
Midnight Oil,"KLD, KLR, PKLD",rare
Night Market Lookout,"KLD, KLR",common
Rush of Vitality,"KLD, KLR, PLST",common
Underhanded Designs,"KLD, KLR",uncommon
Weaponcraft Enthusiast,"KLD, KLR, PLST",uncommon
Aethertorch Renegade,"KLD, KLR",uncommon
Built to Smash,"KLD, KLR, PLST",common
Fateful Showdown,"KLD, KLR, PKLD",rare
Harnessed Lightning,"KLD, KLR",uncommon
Hijack,"KLD, KLR, PLST, XLN",common
Inventor's Apprentice,"KLD, KLR",uncommon
Ruinous Gremlin,"KLD, KLR, PLST",common
Speedway Fanatic,"KLD, KLR",uncommon
Spireside Infiltrator,"KLD, KLR",common
Appetite for the Unnatural,"KLD, KLR",common
Arborback Stomper,"KLD, KLR",uncommon
Blossoming Defense,"KLD, KLR, PLST, SCD",uncommon
Bristling Hydra,"KLD, KLR, PKLD",rare
Commencement of Festivities,"KLD, KLR, PLST",common
Fairgrounds Trumpeter,"KLD, MOM",uncommon
Highspire Artisan,"KLD, KLR",common
Longtusk Cub,"KLD, KLR",uncommon
"Nissa, Vital Force","KLD, KLR, PKLD, PRM, PS18",mythic
Ornamental Courage,"KLD, KLR",common
Peema Outrider,"KLD, KLR, PLST",common
Riparian Tiger,"KLD, KLR, PLST",common
Sage of Shaila's Claim,"KLD, KLR",common
Thriving Rhino,"KLD, KLR",common
Verdurous Gearhulk,"KLD, KLR, MIC, MPS, PKLD, PLST",mythic
Wild Wanderer,"KLD, KLR",common
Wildest Dreams,"KLD, KLR, PKLD",rare
Contraband Kingpin,"KLD, KLR, PLST",uncommon
"Depala, Pilot Exemplar","KLD, KLR, PKLD, SLD",rare
Dovin Baan,"KLD, KLR, PKLD",mythic
Empyreal Voyager,"KLD, KLR",uncommon
Engineered Might,"KLD, KLR, PLST",uncommon
Hazardous Conditions,"KLD, KLR",uncommon
Restoration Gearsmith,"KLD, KLR",uncommon
Saheeli Rai,"KLD, KLR, PKLD, PLST",mythic
Veteran Motorist,"KLD, KLR, PLST",uncommon
Voltaic Brawler,"KLD, KLR",uncommon
Animation Module,"KLD, KLR, PKLD",rare
Ballista Charger,"KLD, KLR",uncommon
Bastion Mastodon,"KLD, KLR",common
Bomat Bazaar Barge,"KLD, KLR, PLST",uncommon
Bomat Courier,"KLD, KLR, PKLD",rare
Cogworker's Puzzleknot,"KLD, KLR",common
Demolition Stomper,"KLD, KLR",uncommon
Dukhara Peafowl,"KLD, KLR, PLST",common
Dynavolt Tower,"KLD, KLR, PKLD",rare
Electrostatic Pummeler,"KLD, KLR, PKLD, PLST",rare
Fabrication Module,"KLD, KLR, PLST",uncommon
Fireforger's Puzzleknot,"KLD, KLR",common
Narnam Cobra,"KLD, KLR",common
Ovalchase Dragster,"KLD, KLR",uncommon
Prakhata Pillar-Bug,"KLD, KLR, PLST",common
Scrapheap Scrounger,"KLD, KLR, PKLD",rare
Sky Skiff,"KLD, KLR",common
"Skysovereign, Consul Flagship","KLD, KLR, NEC, PKLD, SLD, SPG",mythic
Weldfast Monitor,"KLD, KLR",common
Woodweaver's Puzzleknot,"KLD, KLR",common
Blooming Marsh,"KLD, KLR, OTJ, PKLD, POTJ, SLD",rare
Botanical Sanctum,"KLD, KLR, OTJ, PKLD, POTJ, SLD",rare
Concealed Courtyard,"KLD, KLR, OTJ, PKLD, POTJ, SLD",rare
Inspiring Vantage,"KLD, KLR, OTJ, PKLD, POTJ, SLD",rare
Inventors' Fair,"KLD, KLR, PKLD, PLST, SLD",rare
Spirebluff Canal,"KLD, KLR, OTJ, PKLD, POTJ, SLD",rare
Alabaster Kirin,KTK,common
Dazzling Ramparts,KTK,uncommon
End Hostilities,KTK,rare
Erase,"KTK, M13, ULG, WC00",common
Feat of Resistance,"KTK, M21, PLST",common
Firehoof Cavalry,"KTK, PLST",common
Herald of Anafenza,"KTK, PKTK",rare
Jeskai Student,KTK,common
Mardu Hateblade,KTK,common
Mardu Hordechief,"KTK, PLST",common
Master of Pearls,"KTK, MKC, PKTK",rare
Rush of Battle,KTK,common
Sage-Eye Harrier,KTK,common
Salt Road Patrol,KTK,common
Siegecraft,"KTK, PLST",common
Timely Hordemate,KTK,uncommon
Venerable Lammasu,KTK,uncommon
War Behemoth,"KTK, PLST",common
Watcher of the Roost,"KTK, PRM, UGIN",uncommon
Blinding Spray,KTK,uncommon
Embodiment of Spring,"KTK, PLST",common
Force Away,KTK,common
Glacial Stalker,KTK,common
Icy Blast,"KTK, PKTK",rare
Jeskai Windscout,KTK,common
Mistfire Weaver,KTK,uncommon
Monastery Flock,KTK,common
Pearl Lake Ancient,KTK,mythic
Quiet Contemplation,KTK,uncommon
Scaldkin,KTK,common
Scion of Glaciers,"KTK, PLST",uncommon
Set Adrift,"KTK, PLST",uncommon
Singing Bell Strike,"KTK, PLST",common
Stubborn Denial,KTK,uncommon
Taigam's Scheming,KTK,common
Waterwhirl,KTK,uncommon
Weave Fate,"KTK, ORI",common
Wetland Sambar,KTK,common
Whirlwind Adept,"KTK, UMA",common
Bellowing Saddlebrute,KTK,uncommon
Dead Drop,KTK,uncommon
Debilitating Injury,"KTK, PRM, UGIN",common
Disowned Ancestor,"KTK, PLST",common
Empty the Pits,KTK,mythic
Kheru Bloodsucker,KTK,uncommon
Kheru Dreadmaw,KTK,common
Krumar Bond-Kin,"KTK, PLST",common
Mardu Skullhunter,KTK,common
Molting Snakeskin,KTK,common
Murderous Cut,"KTK, PLST",uncommon
Raiders' Spoils,KTK,uncommon
Rakshasa's Secret,"KTK, PLST",common
Retribution of the Ancients,KTK,rare
Rite of the Serpent,"KTK, PLST",common
Rotting Mastodon,KTK,common
Shambling Attendants,"KTK, PLST",common
Sidisi's Pet,KTK,common
Sultai Scavenger,KTK,common
Throttle,"KTK, SOI",common
Unyielding Krumar,"KTK, PLST",common
Ainok Tracker,"KTK, PLST, PRM, UGIN",common
Arrow Storm,"KTK, PLST",common
